Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;SAO PAULO;AUTO POSTO 001 LTDA; 10.000.001/0001-07;AVENIDA BRASIL;2608;;CENTRO;65518-949;GASOLINA;03/07/2023;6,379;;R$/litro;IPIRANGA
SE;SP;SAO PAULO;AUTO POSTO 001 LTDA; 10.000.001/0001-07;AVENIDA BRASIL;2608;;CENTRO;65518-949;ETANOL;03/07/2023;3,218;;R$/litro;IPIRANGA
SE;SP;SAO PAULO;AUTO POSTO 002 LTDA; 10.000.002/0001-14;RUA DAS FLORES;2619;;CENTRO;44335-265;DIESEL S10;03/07/2023;6,567;6,030;R$/litro;RAIZEN
SE;SP;SAO PAULO;AUTO POSTO 002 LTDA; 10.000.002/0001-14;RUA DAS FLORES;2619;;CENTRO;44335-265;GASOLINA;03/07/2023;5,816;;R$/litro;RAIZEN
SE;SP;SAO PAULO  ;AUTO POSTO 002 LTDA;10.000.002/0001-14;RUA DAS FLORES;2619;;CENTRO;44335-265;GNV;03/07/2023;4,352;;R$ / m³;RAIZEN
SE;SP;sao paulo;AUTO POSTO 003 LTDA;10.000.003/0001-21;AVENIDA BRASIL;3880;;CENTRO;29536-658;GNV;03/07/2023;4,976;4,587;R$ / m³;BRANCA
SE;SP;SAO PAULO;AUTO POSTO 003 LTDA; 10000003000121 ;AVENIDA BRASIL;3880;;CENTRO;29536-658;GASOLINA ADITIVADA;03/07/2023;5,886;;R$/litro;BRANCA
SE;SP;SAO PAULO;AUTO POSTO 003 LTDA;10.000.003/0001-21;AVENIDA BRASIL;3880;;CENTRO;29536-658;DIESEL S10;03/07/2023;6,488;5,497;R$/litro;BRANCA
SE;SP;SAO PAULO;AUTO POSTO 004 LTDA;10.000.004/0001-28;RUA DAS FLORES;181;;CENTRO;50404-473;GASOLINA ADITIVADA;03/07/2023;5,553;;R$/litro;BRANCA
SE;SP;SAO PAULO;AUTO POSTO 004 LTDA;10.000.004/0001-28;RUA DAS FLORES;181;;CENTRO;50404-473;GNV;03/07/2023;4,488;4,117;R$ / m³;BRANCA
SE;SP;GUARULHOS;AUTO POSTO 005 LTDA;10.000.005/0001-35;AVENIDA BRASIL;1458;;CENTRO;83385-995;GASOLINA ADITIVADA;03/07/2023;6,018;;R$/litro;RAIZEN
SE;SP;GUARULHOS;AUTO POSTO 005 LTDA;10.000.005/0001-35;AVENIDA BRASIL;1458;;CENTRO;83385-995;GNV;03/07/2023;4,271;3,706;R$ / m³;RAIZEN
SE;SP;GUARULHOS;AUTO POSTO 005 LTDA; 10.000.005/0001-35;AVENIDA BRASIL;1458;;CENTRO;83385-995;GASOLINA;03/07/2023;5,783;;R$/litro;RAIZEN
SE;SP;GUARULHOS;AUTO POSTO 006 LTDA; 10.000.006/0001-42;RUA DAS FLORES;3620;;CENTRO;64040-125;ETANOL;03/07/2023;3,851;;R$/litro;VIBRA
SE;SP;GUARULHOS;AUTO POSTO 007 LTDA; 10.000.007/0001-49;RUA DAS FLORES;1102;;CENTRO;30866-906;GASOLINA;03/07/2023;5,328;4,799;R$/litro;BRANCA
SE;SP;GUARULHOS;AUTO POSTO 007 LTDA;10.000.007/0001-49;RUA DAS FLORES;1102;;CENTRO;30866-906;DIESEL S10;03/07/2023;6,900;;R$/litro;BRANCA
SE;SP;GUARULHOS  ;AUTO POSTO 007 LTDA; 10.000.007/0001-49;RUA DAS FLORES;1102;;CENTRO;30866-906;GNV;03/07/2023;4,381;;R$ / m³;BRANCA
SE;SP;GUARULHOS;AUTO POSTO 008 LTDA;10.000.008/0001-56;RUA DAS FLORES;3354;;CENTRO;70332-458;GASOLINA ADITIVADA;03/07/2023;6,067;;R$/litro;IPIRANGA
SE;SP;GUARULHOS;AUTO POSTO 008 LTDA;10.000.008/0001-56;RUA DAS FLORES;3354;;CENTRO;70332-458;GASOLINA;03/07/2023;5,663;;R$/litro;IPIRANGA
SE;SP;CAMPINAS;AUTO POSTO 009 LTDA;10.000.009/0001-63;RUA DAS FLORES;1642;;CENTRO;53025-385;ETANOL;03/07/2023;3,791;3,295;R$/litro;BRANCA
SE;SP;CAMPINAS;AUTO POSTO 009 LTDA;10.000.009/0001-63;RUA DAS FLORES;1642;;CENTRO;53025-385;DIESEL S10;03/07/2023;6,523;;R$/litro;BRANCA
SE;SP;CAMPINAS;AUTO POSTO 009 LTDA; 10.000.009/0001-63;RUA DAS FLORES;1642;;CENTRO;53025-385;GNV;03/07/2023;4,823;;R$ / m³;BRANCA
SE;SP;CAMPINAS  ;AUTO POSTO 010 LTDA; 10.000.010/0001-70;RODOVIA BR 116;1366;;CENTRO;13617-218;GNV;03/07/2023;5,081;;R$ / m³;IPIRANGA
SE;SP;CAMPINAS;AUTO POSTO 011 LTDA;10.000.011/0001-77;AVENIDA BRASIL;454;;CENTRO;88193-544;ETANOL;03/07/2023;3,604;3,160;R$/litro;IPIRANGA
SE;SP;CAMPINAS;AUTO POSTO 011 LTDA;10.000.011/0001-77;AVENIDA BRASIL;454;;CENTRO;88193-544;DIESEL S10;03/07/2023;6,308;5,771;R$/litro;IPIRANGA
SE;SP;CAMPINAS;AUTO POSTO 011 LTDA; 10.000.011/0001-77;AVENIDA BRASIL;454;;CENTRO;88193-544;GNV;03/07/2023;4,615;;R$ / m³;IPIRANGA
SE;SP;CAMPINAS;AUTO POSTO 012 LTDA;10.000.012/0001-84;RODOVIA BR 116;483;;CENTRO;60488-690;GASOLINA;03/07/2023;5,722;;R$/litro;VIBRA
SE;SP;CAMPINAS;AUTO POSTO 012 LTDA;10.000.012/0001-84;RODOVIA BR 116;483;;CENTRO;60488-690;DIESEL S10;03/07/2023;6,104;;R$/litro;VIBRA
SE;SP;CAMPINAS;AUTO POSTO 012 LTDA; 10.000.012/0001-84;RODOVIA BR 116;483;;CENTRO;60488-690;GNV;03/07/2023;5,021;4,353;R$ / m³;VIBRA
SE;RJ;RIO DE JANEIRO;AUTO POSTO 013 LTDA; 10000013000191 ;RODOVIA BR 116;3801;;CENTRO;80575-803;DIESEL S10;03/07/2023;6,752;;R$/litro;VIBRA
SE;RJ;RIO DE JANEIRO;AUTO POSTO 013 LTDA; 10000013000191 ;RODOVIA BR 116;3801;;CENTRO;80575-803;GASOLINA;03/07/2023;5,801;4,971;R$/litro;VIBRA
SE;RJ;RIO DE JANEIRO;AUTO POSTO 013 LTDA;10.000.013/0001-91;RODOVIA BR 116;3801;;CENTRO;80575-803;ETANOL;03/07/2023;4,313;;R$/litro;VIBRA
SE;RJ;RIO DE JANEIRO;AUTO POSTO 014 LTDA; 10000014000198 ;AVENIDA PAULISTA;2562;;CENTRO;51145-779;ETANOL;03/07/2023;3,702;;R$/litro;BRANCA
SE;RJ;RIO DE JANEIRO;AUTO POSTO 014 LTDA; 10000014000198 ;AVENIDA PAULISTA;2562;;CENTRO;51145-779;GNV;03/07/2023;5,165;4,787;R$ / m³;BRANCA
SE;RJ;RIO DE JANEIRO;AUTO POSTO 014 LTDA; 10000014000198 ;AVENIDA PAULISTA;2562;;CENTRO;51145-779;DIESEL S10;03/07/2023;5,910;;R$/litro;BRANCA
SE;RJ;RIO DE JANEIRO;AUTO POSTO 015 LTDA;10.000.015/0001-05;RUA QUINZE DE NOVEMBRO;1346;;CENTRO;62743-813;GNV;03/07/2023;4,275;;R$ / m³;IPIRANGA
SE;RJ;RIO DE JANEIRO;AUTO POSTO 015 LTDA; 10000015000105 ;RUA QUINZE DE NOVEMBRO;1346;;CENTRO;62743-813;DIESEL S10;03/07/2023;6,515;;R$/litro;IPIRANGA
SE;RJ;RIO DE JANEIRO;AUTO POSTO 016 LTDA; 10000016000112 ;RUA QUINZE DE NOVEMBRO;2784;;CENTRO;32810-730;DIESEL S10;03/07/2023;6,850;;R$/litro;ALESAT
SE;RJ;RIO DE JANEIRO;AUTO POSTO 016 LTDA;10.000.016/0001-12;RUA QUINZE DE NOVEMBRO;2784;;CENTRO;32810-730;GASOLINA;03/07/2023;5,979;5,391;R$/litro;ALESAT
SE;RJ;RIO DE JANEIRO;AUTO POSTO 016 LTDA;10.000.016/0001-12;RUA QUINZE DE NOVEMBRO;2784;;CENTRO;32810-730;GASOLINA ADITIVADA;03/07/2023;6,027;5,406;R$/litro;ALESAT
SE;MG;BELO HORIZONTE;AUTO POSTO 017 LTDA; 10.000.017/0001-19;AVENIDA PAULISTA;870;;CENTRO;66346-904;ETANOL;03/07/2023;4,374;3,988;R$/litro;ALESAT
SE;MG;BELO HORIZONTE;AUTO POSTO 017 LTDA;10.000.017/0001-19;AVENIDA PAULISTA;870;;CENTRO;66346-904;DIESEL S10;03/07/2023;6,069;;R$/litro;ALESAT
